Error code,Name,Return code,Remarks
CE-30045-2,SCE_KERNEL_ERROR_ENOTSUP,0x8002002D,Operation not supported
CE-30046-3,SCE_KERNEL_ERROR_EPFNOSUPPORT,0x8002002E,Protocol family not supported
CE-30047-4,SCE_KERNEL_ERROR_EAFNOSUPPORT,0x8002002F,Address family not supported by protocol family
CE-30048-5,SCE_KERNEL_ERROR_EADDRINUSE,0x80020030,Address already in use
CE-30049-6,SCE_KERNEL_ERROR_EADDRNOTAVAIL,0x80020031,Can't assign requested address
CE-30050-8,SCE_KERNEL_ERROR_ENETDOWN,0x80020032,Network is down
CE-30051-9,SCE_KERNEL_ERROR_ENETUNREACH,0x80020033,Network is unreachable
CE-30052-0,SCE_KERNEL_ERROR_ENETRESET,0x80020034,Network dropped connection on reset
CE-30053-1,SCE_KERNEL_ERROR_ECONNABORTED,0x80020035,Software caused connection abort
CE-30054-2,SCE_KERNEL_ERROR_ECONNRESET,0x80020036,Connection reset by peer
CE-30055-3,SCE_KERNEL_ERROR_ENOBUFS,0x80020037,No buffer space available
CE-30056-4,SCE_KERNEL_ERROR_EISCONN,0x80020038,Socket is already connected
CE-30057-5,SCE_KERNEL_ERROR_ENOTCONN,,Socket is not connected
CE-30058-6,SCE_KERNEL_ERROR_ESHUTDOWN,,Can't send after socket shutdown
CE-30059-7,SCE_KERNEL_ERROR_ETOOMANYREFS,,Too many references: can't splice
CE-30060-9,SCE_KERNEL_ERROR_ETIMEDOUT,,Operation timed out
CE-30061-0,SCE_KERNEL_ERROR_ECONNREFUSED,,Connection refused
CE-30062-1,SCE_KERNEL_ERROR_ELOOP,,Too many levels of symbolic links
CE-30063-2,SCE_KERNEL_ERROR_ENAMETOOLONG,,File name too long
CE-30064-3,SCE_KERNEL_ERROR_EHOSTDOWN,,Host is down
CE-30065-4,SCE_KERNEL_ERROR_EHOSTUNREACH,,No route to host
CE-30066-5,SCE_KERNEL_ERROR_ENOTEMPTY,,Directory not empty
CE-30067-6,SCE_KERNEL_ERROR_EPROCLIM,,Too many processes
CE-30068-7,SCE_KERNEL_ERROR_EUSERS,,Too many users
CE-30069-8,SCE_KERNEL_ERROR_EDQUOT,,Disc quota exceeded
CE-30070-0,SCE_KERNEL_ERROR_ESTALE,,Stale NFS file handle
CE-30071-1,SCE_KERNEL_ERROR_EREMOTE,,Too many levels of remote in path
CE-30072-2,SCE_KERNEL_ERROR_EBADRPC,,RPC struct is bad
CE-30073-3,SCE_KERNEL_ERROR_ERPCMISMATCH,,RPC version wrong
CE-30074-4,SCE_KERNEL_ERROR_EPROGUNAVAIL,,RPC prog. not avail
CE-30075-5,SCE_KERNEL_ERROR_EPROGMISMATCH,,Program version wrong
CE-30076-6,SCE_KERNEL_ERROR_EPROCUNAVAIL,,Bad procedure for program
CE-30077-7,SCE_KERNEL_ERROR_ENOLCK,,No locks available
CE-30078-8,SCE_KERNEL_ERROR_ENOSYS,,Function not implemented
CE-30079-9,SCE_KERNEL_ERROR_EFTYPE,,Inappropriate file type or format
CE-30080-1,SCE_KERNEL_ERROR_EAUTH,,Authentication error
CE-30081-2,SCE_KERNEL_ERROR_ENEEDAUTH,,Need authenticator
CE-30082-3,SCE_KERNEL_ERROR_EIDRM,,Identifier removed
CE-30083-4,SCE_KERNEL_ERROR_ENOMSG,,No message of desired type
CE-30084-5,SCE_KERNEL_ERROR_EOVERFLOW,,Value too large to be stored in data type
CE-30085-6,SCE_KERNEL_ERROR_ECANCELED,,Operation canceled
CE-30086-7,SCE_KERNEL_ERROR_EILSEQ,,Illegal byte sequence
CE-30087-8,SCE_KERNEL_ERROR_ENOATTR,,Attribute not found
CE-30088-9,SCE_KERNEL_ERROR_EDOOFUS,,Programming error
CE-30089-0,SCE_KERNEL_ERROR_EBADMSG,,Bad message
CE-30090-2,SCE_KERNEL_ERROR_EMULTIHOP,,Multihop attempted
CE-30091-3,,,Link has been severed
CE-30092-4,,,Protocol error
CE-30093-5,,,Capabilities insufficient
CE-30094-6,,,Not permitted in capability mode
CE-30095-7,,,Block not ready
CE-30392-7,,,"Hardware Error. // Your system likely needs to be serviced. Please visit our Contact page to set up service. Check system clock / time. If it's reset, change CMOS battery and test. If that fails and/or is OK, replace Mediacon (Southbridge) IC."
CE-30559-2,SCE_SBL_ERROR_NPDRM_ESIGN,0x800F0A24,Cannot start the application.
CE-30608-7,,,Hardware Error. // Your system likely needs to be serviced. Please visit our Contact page to set up service.
CE-30614-4,,,out of memory
CE-30615-5,,,file IO error
CE-30616-6,,,invalid parameters
CE-30617-7,,,invalid MAGIC code (system file broken)
CE-30618-8,,,key's not found (system file broken)
CE-30619-9,,,duplication of key (system file broken)
CE-30620-1,,,invalid version(system file broken)
CE-30621-2,,,invalid data size (system file broken)
CE-30784-2,,,"PS4 failed to detect USB device // Step 1: Verify that the USB device supports USB 2.0 or 3.0. Step 2: Ensure the device is properly inserted in the PS4, and then wait one minute before trying to access the device again. Step 3: Make sure there are not multiple partitions on the device. Step 4: Initialize the device on a PC if possible."
CE-30791-0,,,I/O error
CE-30792-1,,,invalid argument
CE-30793-2,,,permission denied
CE-30794-3,,,no such device
CE-30795-4,,,resource not found
CE-30796-5,,,resource busy
CE-30797-6,,,timer expired
CE-30798-7,,,value too large to be stored in data type
CE-30799-8,,,broken pipe
CE-30800-1,,,interrupted system call
CE-30801-2,,,not enough core
CE-30802-3,,,operation not supported
CE-30803-4,,,fatal error
CE-30804-5,,,Tried to perform an operation (play release or get number of remaining samples) for the port not opened
CE-30805-6,,,Tried to output while outputting audio
CE-30806-7,,,Invalid port number
CE-30807-8,,,Invalid pointer
CE-30808-9,,,Cannot reserve a port(channel) any more
CE-30809-0,,,Invalid sample length specified
CE-30810-2,,,Invalid audio format
CE-30811-3,,,Invalid sampling frequency
CE-30812-4,,,Invalid volume value
CE-30813-5,,,Invalid port type
CE-30814-6,,,Invalid config type
CE-30815-7,,,Not enough memory
CE-30816-8,,,already initialized
CE-30817-9,,,not initialized
CE-30818-0,,,memory handling error
CE-30819-1,,,system resourc error
CE-30820-3,,,transfer event send error
CE-30821-4,,,Invalid volume flag value
CE-30822-5,,,undefined error
CE-30823-6,,,Bad value of handle
CE-30824-7,,,Invalid sample length
CE-30825-8,,,Invalid sampling frequency
CE-30826-9,,,Invalid bus type
CE-30827-0,,,Invalid pointer value
CE-30828-1,,,Invalid port parameter
CE-30829-2,,,Cannot open port any more
CE-30830-4,,,Not enough memory
CE-30831-5,,,This port is not opened
CE-30832-6,,,Tried to input while inputting
CE-30833-7,,,Error due to relate of the system memory access
CE-30834-8,,,Error due to the system IPC
CE-30836-0,,,invalid argument
CE-30837-1,,,invalid address
CE-30838-2,,,invalid pixel format argument
CE-30839-3,,,invalid pitch argument
CE-30840-5,,,invalid widthheight argument
CE-30841-6,,,invalid flip mode argument
CE-30842-7,,,invalid tiling mode argument
CE-30843-8,,,invalid aspect ratio argument
CE-30844-9,,,the resource is in use
CE-30845-0,,,invalid index
CE-30846-1,,,invalid handle
CE-30847-2,,,invalid event queue
CE-30848-3,,,invalid event
CE-30849-4,,,no empty slot found
CE-30850-6,,,the specified slot is already occupied
CE-30851-7,,,flip queue is already full
CE-30852-8,,,invalid memory
CE-30853-9,,,the buffer memory is not physically contiguous
CE-30854-0,,,invalid memory alignment for the buffer
CE-30855-1,,,unsupported output mode
CE-30856-2,,,unknown error
CE-30857-3,,,internal error
CE-30858-4,,,Cannot allocate memory
CE-30866-3,,,Parameter is invalid
CE-30867-4,,,Already initialized
CE-30868-5,,,Not initialized
CE-30869-6,,,Camera is already open
CE-30870-8,,,Camera is not open
CE-30871-9,,,Streaming has started
CE-30872-0,,,Streaming has not yet started
CE-30873-1,,,Cannot start with specified format
CE-30874-2,,,Cannot start with specified resolution
CE-30875-3,,,Cannot open with specified frame rate
CE-30876-4,,,Function timed out
CE-30877-5,,,Unknown attribute
CE-30878-6,,,The camera is busy.
CE-30879-7,,,Unknown Configuration
CE-30880-9,,,The frame has already been read.
CE-30881-0,,,The Camera is not connected.
CE-30882-1,,,The Function is not supported.
CE-30883-2,,,Attribute cannot specify under this Configuration.
CE-30884-3,,,Number of processes reached maximum.
CE-30885-4,,,Number of processes reached maximum.
CE-30886-5,,,Copyout failed.
CE-30887-6,,,Copyin failed.
CE-30888-7,,,Process create failed.
CE-30889-8,,,Fatal error occurred
CE-31138-6,,,This user already logged out
CE-31493-0,,,Fatal error
CE-31494-1,,,Invalid argument value detected
CE-31495-2,,,Invalid FontMemory detected
CE-31496-3,,,Invalid FontLibrary detected
CE-31497-4,,,Invalid FontHandle detected
CE-31498-5,,,Invalid FontGlyph detected
CE-31499-6,,,Invalid FontRenderer detected
CE-31500-9,,,Memory allocation failed
CE-31501-0,,,File open failed
CE-31502-1,,,Unsupported library
CE-31503-2,,,Unsupported format
CE-31504-3,,,Unsupported function
CE-31505-4,,,Already specified
CE-31506-5,,,Already attached
CE-31507-6,,,Already opened font detected
CE-31508-7,,,No cache buffer
CE-31509-8,,,Unsupported font set
CE-31510-0,,,Exceeding maximum number of font opens
CE-31511-1,,,Failed in font opening process
CE-31512-2,,,Failed in font closing process
CE-31513-3,,,Unsupported code
CE-31514-4,,,Glyph could not be found
CE-31515-5,,,Unsupported surface
CE-31516-6,,,Unset parameter
CE-31517-7,,,Renderer is already bound
CE-31518-8,,,Renderer is not bound
CE-31519-9,,,Renderer could not allocate memory
CE-31520-1,,,Render failed to render
CE-31521-2,,,invalid pointer argument
CE-31522-3,,,invalid state
CE-31523-4,,,uninitialized context
CE-31524-5,,,invalid pointer argument
CE-31525-6,,,invalid state
CE-31526-7,,,uninitialized context
CE-31527-8,,,invalid pointer argument
CE-31528-9,,,invalid state
CE-31529-0,,,uninitialized context
CE-31530-2,,,invalid pointer argument
CE-31531-3,,,invalid state
CE-31532-4,,,uninitialized context
CE-31533-5,,,invalid pointer argument
CE-31534-6,,,invalid state
CE-31535-7,,,uninitialized context
CE-31536-8,,,invalid pointer argument
CE-31537-9,,,invalid state
CE-31538-0,,,uninitialized context
CE-31539-1,,,invalid pointer argument
CE-31540-3,,,invalid state
CE-31541-4,,,uninitialized context
CE-31542-5,,,invalid pointer argument
CE-31543-6,,,invalid state
CE-31544-7,,,invalid digest size
CE-31545-8,,,uninitialized context
CE-31546-9,,,invalid pointer argument
CE-31547-0,,,invalid digest size
CE-31548-1,,,invalid pointer argument
CE-31549-2,,,invalid pointer argument
CE-31550-4,,,invalid state
CE-31551-5,,,invalid size
CE-31552-6,,,invalid pointer argument
CE-31553-7,,,invalid state
CE-31554-8,,,invalid size
CE-31555-9,,,invalid pointer argument
CE-31556-0,,,invalid state
CE-31557-1,,,invalid size
CE-31558-2,,,invalid pointer argument
CE-31559-3,,,invalid state
CE-31560-5,,,invalid size
CE-31561-6,,,invalid pointer argument
CE-31562-7,,,invalid state
CE-31563-8,,,invalid size
CE-31564-9,,,invalid pointer argument
CE-31565-0,,,invalid state
CE-31566-1,,,invalid size
CE-31567-2,,,invalid pointer argument
CE-31568-3,,,invalid state
CE-31569-4,,,invalid size
CE-31570-6,,,invalid pointer argument
CE-31571-7,,,invalid state
CE-31572-8,,,invalid size
CE-31573-9,,,invalid pointer argument
CE-31574-0,,,invalid state
CE-31575-1,,,invalid size
CE-31576-2,,,invalid pointer argument
CE-31577-3,,,invalid state
CE-31578-4,,,invalid size
CE-31579-5,,,fatal error
CE-31580-7,,,specified max grain samples is invalid
CE-31581-8,,,specified grain samples is invalid
CE-31582-9,,,the specified number of channel is invalid
CE-31583-0,,,specified out address is invalid
CE-31584-1,,,specified out size is invalid
CE-31585-2,,,specified option address is invalid
CE-31586-3,,,specified option size is invalid
CE-31587-4,,,specified system option flag is invalid
CE-31588-5,,,specified max matrices is invalid
CE-31589-6,,,specified max ports is invalid
CE-31590-8,,,specified max input delay blocks is invalid
CE-31591-9,,,specified max voices is invalid
CE-31592-0,,,specified max channels is invalid
CE-31593-1,,,specified max channels is invalid
CE-31594-2,,,specified max waveform blocks is invalid
CE-31595-3,,,specified max envelope points is invalid
CE-31596-4,,,specified max filters is invalid
CE-31597-5,,,specified max codec caches is invalid
CE-31598-6,,,specified max atrac9 decoders is invalid
CE-31599-7,,,specified max atrac9 channel works is invalid
CE-31600-0,,,specified max inputs is invalid
CE-31601-1,,,the specified number of matrix level is invalid
CE-31602-2,,,the specified number of waveform block is invalid
CE-31603-3,,,the specified number of envelope points is invalid
CE-31604-4,,,the specified matrix level address is invalid
CE-31605-5,,,the specified waveform block address is invalid
CE-31606-6,,,the specified envelope point address is invalid
CE-31607-7,,,the specified number of peak meter block is invalid
CE-31608-8,,,specified handle is invalid
CE-31609-9,,,specified sample rate is invalid
CE-31610-1,,,specified report type is invalid
CE-31611-2,,,specified report handler is invalid
CE-31612-3,,,specified report handle is invalid
CE-31613-4,,,report handle can not be registered
CE-31614-5,,,specified buffer info is invalid
CE-31615-6,,,specified buffer address is invalid
CE-31616-7,,,specified buffer alignment is invalid
CE-31617-8,,,specified buffer size is invalid
CE-31618-9,,,specified buffer allocator is invalid
CE-31619-0,,,system buffer is broken
CE-31620-2,,,buffer is lack
CE-31621-3,,,specified system handle is invalid
CE-31622-4,,,specified Rack ID is invalid
CE-31623-5,,,specified Rack handle is invalid
CE-31624-6,,,specified voice handle is invalid
CE-31625-7,,,specified voice is uninitialized
CE-31626-8,,,specified voice index is invalid
CE-31627-9,,,specified voice event is invalid
CE-31628-0,,,specified port index is invalid
CE-31629-1,,,specified patch parameter is invalid
CE-31630-3,,,channel work is lack
CE-31631-4,,,voice resource is lack
CE-31632-5,,,specified voice control ID is invalid
CE-31633-6,,,specified voice control address is invalid
CE-31634-7,,,specified voice control size is invalid
CE-31635-8,,,detected circular voice control
CE-31636-9,,,voice resource is lack
CE-31637-0,,,the specified data format of wave form is invalid
CE-31638-1,,,the specified type of wave form is invalid
CE-31639-2,,,the specified config data of wave form is invalid
CE-31640-4,,,the specified sample rate of wave form is invalid
CE-31641-5,,,the specified frame offset or frame mergin is invalid
CE-31642-6,,,the specified address of wave form is invalid
CE-31643-7,,,the specified size of wave form is invalid
CE-31644-8,,,the specified wave form data is invalid
CE-31645-9,,,the specified curve of envelope is invalid
CE-31646-0,,,the specified flag of peak meter is invalid
CE-31647-1,,,the specified max chorus phases is invalid
CE-31648-2,,,the specified number of chorus phases is invalid
CE-31649-3,,,the specified curve of envelope is invalid
CE-31650-5,,,the specified type of filter is invalid
CE-31651-6,,,the specified location of filter is invalid
CE-31652-7,,,the specified cutoff frequency of filter is invalid
CE-31653-8,,,the specified parameter size of user fx is invalid
CE-31654-9,,,the specified index of matrix is invalid
CE-31655-0,,,the codec of specified wavefrom is invalid
CE-31656-1,,,the codec instance is not empty
CE-31657-2,,,the channel work of codec is not empty
CE-31658-3,,,failed to setup decoder
CE-31659-4,,,failed to reset decoder
CE-31660-6,,,failed to decode
CE-31661-7,,,the specified reverb size is invalid
CE-31662-8,,,the specified unit angle is invalid
CE-31663-9,,,the specified speaker angle is invalid
CE-31664-0,,,the specified pan matrix format is invalid
CE-31665-1,,,the specified pan work is invalid
CE-31666-2,,,the specified pan param is invalid
CE-31667-3,,,the specified module ID is invalid
CE-31668-4,,,the specified number of module is invalid
CE-31669-5,,,the specified number of module buffer is invalid
CE-31670-7,,,the specified module buffer ID is invalid
CE-31671-8,,,the specified module state offset is invalid
CE-31672-9,,,the specified module state size is invalid
CE-31673-0,,,the specified voice state size is invalid
CE-31674-1,,,the specified module index is invalid
CE-31675-2,,,the specified module info size is invalid
CE-31695-4,,,The system has already initialized
CE-31696-5,,,The system has not been initialized
CE-31697-6,,,An argument is invalid
CE-31698-7,,,The alignment of a parameter is invalid
CE-31699-8,,,The system ran out of memory
CE-31700-1,,,The feature is unsupported
CE-31701-2,,,A network error occurred
CE-31702-3,,,The network is not owned by this system
CE-31703-4,,,An agent has the incorrect definition
CE-31704-5,,,The server is not connected
CE-31705-6,,,A capture is already in progress
CE-31706-7,,,The server has run out of bookmarks to allocate
CE-31707-8,,,The server connection has timed out
CE-31708-9,,,The voice library has not been initialized.
CE-31709-0,,,The voice library has already been initialized.
CE-31710-2,,,Errors that belong to non-voice APIs.
CE-31711-3,,,Invalid port.
CE-31712-4,,,Invalid argument.
CE-31713-5,,,Invalid memory block.
CE-31714-6,,,Topology error.
CE-31715-7,,,Insufficient resources.
CE-31716-8,,,Library internal voice service is detached.
CE-31717-9,,,Library internal voice service is attached.
CE-31718-0,,,The VoiceQoS library has not been initialized.
CE-31719-1,,,An invalid argument was given to a VoiceQoS library
CE-31720-3,,,An invalid packet was given to a VoiceQoS library
CE-31721-4,,,An unrecoverable internal error occurred in the VoiceQoS library.
CE-31722-5,,,The VoiceQoS library has already been initialized.
CE-31723-6,,,A system error occurred in the VoiceQoS library.
CE-31724-7,,,A resource limit error occurred in the VoiceQoS library.
CE-32566-2,,,The specified pointer is NULL.
CE-32567-3,,,There is an alignment error in the specified pointer.
CE-32568-4,,,The specified value is not within the accepted range.
CE-32569-5,,,The specified parameter is invalid.
CE-32570-7,,,The caller is attempting to perform an unauthorized operation.
CE-32571-8,,,The fiber state does not allow that operation.
CE-32572-9,,,Tried to load an unknown PRX
CE-32573-0,,,Tried to unload a PRX that is already unloaded or the module is not loaded
CE-32574-1,,,Function call failed
CE-32575-2,,,Specified argument value is invalid
CE-32576-3,,,Specified profile is invalid
CE-32577-4,,,Specified source buffer is invalid
CE-32578-5,,,Specified source buffer is insufficient
CE-32579-6,,,Source encoding determined to be invalid
CE-32580-8,,,Illegal character code detected in source character code
CE-32581-9,,,Code points in output destination encoding scheme are not defined
CE-32582-0,,,Character outside the representable code range of the output destination encoding scheme is detected
CE-32583-1,,,Output destination buffer is invalid
CE-32584-2,,,Output destination buffer is insufficient
CE-32585-3,,,Specified memory address is invalid
CE-32586-4,,,Specified memory size is invalid
CE-32587-5,,,Specified parameter is invalid
CE-32588-6,,,Specified handle is invalid
CE-32589-7,,,Specified coefficient memory is invalid
CE-32590-9,,,Work memory in the decoder is invalid
CE-32591-0,,,Invalid JPEG image (non-standard)
CE-32592-1,,,JPEG image is not supported by the decoder
CE-32593-2,,,Decoding error
CE-32594-3,,,Internal error
CE-32595-4,,,Specified memory address is invalid
CE-32596-5,,,Specified memory size is invalid
CE-32597-6,,,Specified parameter is invalid
CE-32598-7,,,Specified handle is invalid
CE-32599-8,,,Encoding was aborted due to an overflow upon outputting the JPEG image
CE-32600-1,,,Internal error
CE-32601-2,,,Specified memory address is invalid
CE-32602-3,,,Specified memory size is invalid
CE-32603-4,,,Specified parameter is invalid
CE-32604-5,,,Specified handle is invalid
CE-32605-6,,,Work memory in the decoder is invalid
CE-32606-7,,,Invalid PNG image (non-standard)
CE-32607-8,,,PNG image is not supported by the decoder
CE-32608-9,,,Decoding error
CE-32609-0,,,Internal error
CE-32610-2,,,Specified memory address is invalid
CE-32611-3,,,Specified memory size is invalid
CE-32612-4,,,Specified parameter is invalid
CE-32613-5,,,Specified handle is invalid
CE-32614-6,,,Encoding was aborted due to an overflow upon outputting the PNG image
CE-32615-7,,,Internal error
CE-32616-8,,,invalid parameter specified
CE-32617-9,,,the requested operation has failed
CE-32618-0,,,memory allocation has failed
CE-32619-1,,,requested operation is not supported
CE-32620-3,,,event notification that the file is non-interleaved
CE-32621-4,,,event notification that the stream is looping back
CE-32622-5,,,event notification of stream encrypted using Marlin
CE-32623-6,,,event notification of stream encrypted using PlayReady
CE-32624-7,,,event notification of stream encrypted using AES
CE-32625-8,,,event notification of stream encrypted using other encryption technology
CE-32665-2,,,internal error
CE-32666-3,,,Specified codec type is invalid
CE-32667-4,,,Specified argument is invalid
CE-32668-5,,,size of structure is invalid
CE-32669-6,,,size of AudiodecParam* structure is invalid
CE-32670-8,,,size of Audiodec*Info structure is invalid
CE-32671-9,,,size of AudiodecAuInfo structure is invalid
CE-32672-0,,,size of AudiodecPcmItem structure is invalid
CE-32673-1,,,Specified invalid pointer of AudiodecCtrl
CE-32674-2,,,Specified invalid pointer of pParam
CE-32675-3,,,Specified invalid pointer of pBsiInfo
CE-32676-4,,,Specified invalid pointer of pAuInfo
CE-32677-5,,,Specified invalid pointer of pPcmItem
CE-32678-6,,,Specified invalid pAuAddr
CE-32679-7,,,Specified invalid pPcmAddr
CE-32680-9,,,Specified invalid handle
CE-32681-0,,,Specified invalid word length
CE-32682-1,,,Specified invalid uiAuSize
CE-32683-2,,,Specified invalid uiPcmSize
CE-32684-3,,,Specified invalid raw data output sampling frequency of MPEG4-AAC
CE-32685-4,,,Specified invalid HE-AAC decoding flag of MPEG4-AAC
CE-32686-5,,,Specified invalid header type of MPEG4-AAC
CE-32687-6,,,Specified invalid maximum number of channels of MPEG4-AAC
CE-32688-7,,,Specified invalid karaoke capable reproduction mode of Dolby Digital
CE-32689-8,,,Specified invalid dynamic range compression mode of Dolby Digital
CE-32690-0,,,Specified invalid LFE channel output mode of Dolby Digital
CE-32691-1,,,Specified invalid output channel configuration of Dolby Digital
CE-32692-2,,,Specified invalid number of output channels of Dolby Digital
CE-32693-3,,,Specified invalid output PCM samples scale factor of Dolby Digital
CE-32694-4,,,Specified invalid stereo mode of Dolby Digital
CE-32695-5,,,Specified invalid dual mono reproduction mode of Dolby Digital
CE-32696-6,,,Specified invalid high frequency dynamic cut scale factor of Dolby Digital
CE-32697-7,,,Specified invalid low frequency dynamic boost scale factor of Dolby Digital
CE-32698-8,,,Specified invalid output channel routing of Dolby Digital
CE-32699-9,,,Specified invalid downmix flag of MPEG2-BC
CE-32700-2,,,Specified invalid ConfigData of ATRAC9
CE-32701-3,,,Specified invalid presentationMode of Dolby TrueHD
CE-32702-4,,,Specified invalid lossless of Dolby TrueHD
CE-32703-5,,,Specified invalid drcEnable of Dolby TrueHD
CE-32704-6,,,Specified invalid drcCut of Dolby TrueHD
CE-32705-7,,,Specified invalid drcBoost of Dolby TrueHD
CE-32706-8,,,Specified invalid nFrameDecode of Dolby TrueHD
CE-32707-9,,,The specified pointer is NULL.
CE-32708-0,,,The alignment restrictions are not met.
CE-32709-1,,,The specified value is out of range.
CE-32710-3,,,The specified argument value is invalid.
CE-32711-4,,,This is an unauthorized operation.
CE-32712-5,,,The current state does not allow application of this operation.
CE-32713-6,,,The resource cannot be used.
CE-32714-7,,,Execution of this operation is temporarily not possible.
CE-32715-8,,,A fatal error occurred.
CE-32716-9,,,This library is not initialized.
CE-32717-0,,,Not implemented
CE-32718-1,,,Out of memory in opStorage
CE-32719-2,,,Out of memory in fhStorage
CE-32720-4,,,Out of memory in dhStorage
CE-32721-5,,,Out of memory in chunkStorage
CE-32722-6,,,File not found
CE-32723-7,,,An invalid pointer was given as an argument
CE-32724-8,,,An invalid offset was given as an argument
CE-32725-9,,,An invalid size was given as an argument
CE-32726-0,,,An invalid iovcnt was given as an argument
CE-32727-1,,,An invalid FiosOp was given as an argument
CE-32728-2,,,An invalid FiosFH was given as an argument
CE-32729-3,,,An invalid FiosDH was given as an argument
CE-32730-5,,,Invalid alignment on a pointer argument
CE-32731-6,,,Attempted a file operation but target was a directory
CE-32732-7,,,Attempted a directory operation but target was a file
CE-32733-8,,,End-of-file reached
CE-32734-9,,,Timeout occurred
CE-32735-0,,,Operation was cancelled
CE-32736-1,,,Insufficient access privileges
CE-32737-2,,,Decompression failed
